time,temperature_2m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,sunshine_duration,cloud_cover
2026-01-01 00:00:00,-3.7,0,0,0,0,0,0,100
2026-01-01 01:00:00,-4.1,0,0,0,0,0,0,100
2026-01-01 02:00:00,-4.4,0,0,0,0,0,0,100
2026-01-01 03:00:00,-4.5,0,0,0,0,0,0,100
2026-01-01 04:00:00,-4.5,0,0,0,0,0,0,100
2026-01-01 05:00:00,-4.6,0,0,0,0,0,0,100
2026-01-01 06:00:00,-4.8,0,0,0,0,0,0,100
2026-01-01 07:00:00,-5,18,0,18,0,18,0,100
2026-01-01 08:00:00,-5.3,119,23,96,116.5,119,0,100
2026-01-01 09:00:00,-4.7,278,141,137,418.6,278,1695.54,100
2026-01-01 10:00:00,-3.4,423,303,120,692.6,423,3600,78
2026-01-01 11:00:00,-1.9,500,386,114,784,500,3600,5
2026-01-01 12:00:00,-0.6,506,396.00000000000006,110,795.5,506,3600,6
2026-01-01 13:00:00,0.3,449,346,103,763.1,449,3600,0
2026-01-01 14:00:00,1.3,336,247,89,681.9,336,3600,0
2026-01-01 15:00:00,1.2,184,117.00000000000001,67,507.69999999999993,184,3600,0
2026-01-01 16:00:00,0.6,38,15,23,132.3,38,3600,0
2026-01-01 17:00:00,-0.1,0,0,0,0,0,1026.12,0
2026-01-01 18:00:00,-1.3,0,0,0,0,0,0,65
2026-01-01 19:00:00,-1.8,0,0,0,0,0,0,86
2026-01-01 20:00:00,-2.6,0,0,0,0,0,0,80
2026-01-01 21:00:00,-2.8,0,0,0,0,0,0,71
2026-01-01 22:00:00,-3.2,0,0,0,0,0,0,44
2026-01-01 23:00:00,-3.8,0,0,0,0,0,0,35
2026-01-02 00:00:00,-4.3,0,0,0,0,0,0,8
2026-01-02 01:00:00,-4.9,0,0,0,0,0,0,0
2026-01-02 02:00:00,-5.6,0,0,0,0,0,0,0
2026-01-02 03:00:00,-5.9,0,0,0,0,0,0,10
2026-01-02 04:00:00,-6.1,0,0,0,0,0,0,0
2026-01-02 05:00:00,-6.4,0,0,0,0,0,0,0
2026-01-02 06:00:00,-6.7,0,0,0,0,0,0,0
2026-01-02 07:00:00,-6.9,23,6,17,63.3,23,0,0
2026-01-02 08:00:00,-6.6,151,83,68,420.7,151,25.09,0
2026-01-02 09:00:00,-5.5,304,207,97,614,304,3600,0
2026-01-02 10:00:00,-3.5,425.00000000000006,314,111,716.7,425.00000000000006,3600,0
2026-01-02 11:00:00,-1.9,494.99999999999994,378,117.00000000000001,766.1,494.99999999999994,3600,0
2026-01-02 12:00:00,-0.8,501.99999999999994,385.99999999999994,116,773.2,501.99999999999994,3600,0
2026-01-02 13:00:00,0.1,447,337,110,740.4,447,3600,0
2026-01-02 14:00:00,1.4,339,244,95,669.9,339,3600,0
2026-01-02 15:00:00,1.6,187,116.00000000000001,71,498.6,187,3600,0
2026-01-02 16:00:00,1.2,40,15,25,131,40,3600,0
2026-01-02 17:00:00,0.2,0,0,0,0,0,1034.93,0
2026-01-02 18:00:00,-0.8,0,0,0,0,0,0,0
2026-01-02 19:00:00,-2.1,0,0,0,0,0,0,0
2026-01-02 20:00:00,-3,0,0,0,0,0,0,0
2026-01-02 21:00:00,-3.4,0,0,0,0,0,0,0
2026-01-02 22:00:00,-3.8,0,0,0,0,0,0,0
2026-01-02 23:00:00,-3.9,0,0,0,0,0,0,0
2026-01-03 00:00:00,-4.1,0,0,0,0,0,0,0
2026-01-03 01:00:00,-4.2,0,0,0,0,0,0,0
2026-01-03 02:00:00,-4.2,0,0,0,0,0,0,0
2026-01-03 03:00:00,-4.3,0,0,0,0,0,0,0
2026-01-03 04:00:00,-4.5,0,0,0,0,0,0,0
2026-01-03 05:00:00,-4.6,0,0,0,0,0,0,0
2026-01-03 06:00:00,-4.8,0,0,0,0,0,0,0
2026-01-03 07:00:00,-5.2,22,6,16,63.3,22,0,0
2026-01-03 08:00:00,-5.2,148,80,68,405.4,148,25.33,0
2026-01-03 09:00:00,-4,299,201,98,595.6,299,3600,0
2026-01-03 10:00:00,-1,418,305,113,695,418,3600,0
2026-01-03 11:00:00,1.8,489,371,118,750.1999999999999,489,3600,0
2026-01-03 12:00:00,4,498,383,115,764.8999999999999,498,3600,0
2026-01-03 13:00:00,5.3,443,336,107,735.2,443,3600,0
2026-01-03 14:00:00,7,336,243,93,663.3,336,3600,0
2026-01-03 15:00:00,7,186,116,70,493.7,186,3600,0
2026-01-03 16:00:00,6.3,40,15,25,129.6,40,3600,0
2026-01-03 17:00:00,4.2,0,0,0,0,0,1043.33,0
2026-01-03 18:00:00,2.2,0,0,0,0,0,0,0
2026-01-03 19:00:00,0.8,0,0,0,0,0,0,0
2026-01-03 20:00:00,-0.1,0,0,0,0,0,0,0
2026-01-03 21:00:00,-1.1,0,0,0,0,0,0,10
2026-01-03 22:00:00,-1.9,0,0,0,0,0,0,22
2026-01-03 23:00:00,-3.2,0,0,0,0,0,0,75
2026-01-04 00:00:00,-4.4,0,0,0,0,0,0,43
2026-01-04 01:00:00,-4.9,0,0,0,0,0,0,85
2026-01-04 02:00:00,-5.2,0,0,0,0,0,0,92
2026-01-04 03:00:00,-5.3,0,0,0,0,0,0,100
2026-01-04 04:00:00,-5.3,0,0,0,0,0,0,100
2026-01-04 05:00:00,-4.8,0,0,0,0,0,0,90
2026-01-04 06:00:00,-4.1,0,0,0,0,0,0,87
2026-01-04 07:00:00,-3.7,14,0,14,0,14,0,99
2026-01-04 08:00:00,-3.2,82,3,79,15.2,82,0,100
2026-01-04 09:00:00,-2.5,179,23,156,68.1,179,0,100
2026-01-04 10:00:00,-0.7,250,33,217.00000000000003,75,250,241.59,100
2026-01-04 11:00:00,1,280,42.00000000000001,238,84.7,280,451.34,100
2026-01-04 12:00:00,2.5,261,31,230,61.7,261,741.28,100
2026-01-04 13:00:00,3.4,160,2,158,4.4,160,51.19,100
2026-01-04 14:00:00,4.6,147,4,143,10.9,147,0,100
2026-01-04 15:00:00,4.6,85,1,84,4.2,85,0,100
2026-01-04 16:00:00,4,25,1,24,8.5,25,0,100
2026-01-04 17:00:00,2.7,0,0,0,0,0,0,96
2026-01-04 18:00:00,1.5,0,0,0,0,0,0,98
2026-01-04 19:00:00,0.7,0,0,0,0,0,0,92
2026-01-04 20:00:00,0.2,0,0,0,0,0,0,93
2026-01-04 21:00:00,-0.2,0,0,0,0,0,0,78
2026-01-04 22:00:00,-0.7,0,0,0,0,0,0,84
2026-01-04 23:00:00,-1,0,0,0,0,0,0,93
2026-01-05 00:00:00,-1.4,0,0,0,0,0,0,91
2026-01-05 01:00:00,-1.6,0,0,0,0,0,0,91
2026-01-05 02:00:00,-1.3,0,0,0,0,0,0,75
2026-01-05 03:00:00,-1.3,0,0,0,0,0,0,77
2026-01-05 04:00:00,-1.5,0,0,0,0,0,0,79
2026-01-05 05:00:00,-1.7,0,0,0,0,0,0,38
2026-01-05 06:00:00,-2,0,0,0,0,0,0,11
2026-01-05 07:00:00,-2.3,22,6,16,63.3,22,0,11
2026-01-05 08:00:00,-2.6,149,83,66,419.9,149,25.2,0
2026-01-05 09:00:00,-1.7,302,207,95,611.4,302,3600,0
2026-01-05 10:00:00,0.3,425,316,109,717,425,3600,0
2026-01-05 11:00:00,2.3,494.99999999999994,379,116,762.3000000000001,494.99999999999994,3600,0
2026-01-05 12:00:00,3.7,493,355,138,704.2,493,3600,28
2026-01-05 13:00:00,4.4,436,299,137,648.5,436,3600,29
2026-01-05 14:00:00,5.2,337,236,101,636.2,337,3600,22
2026-01-05 15:00:00,5.1,190,119,71,496.1,190,3600,3
2026-01-05 16:00:00,4.6,43,17,26,143.7,43,3600,0
2026-01-05 17:00:00,3.4,0,0,0,0,0,1326.63,0
2026-01-05 18:00:00,1.9,0,0,0,0,0,0,1
2026-01-05 19:00:00,0.7,0,0,0,0,0,0,40
2026-01-05 20:00:00,-0.7,0,0,0,0,0,0,33
2026-01-05 21:00:00,-1.2,0,0,0,0,0,0,91
2026-01-05 22:00:00,-1.5,0,0,0,0,0,0,99
2026-01-05 23:00:00,-1.6,0,0,0,0,0,0,100
2026-01-06 00:00:00,-1.8,0,0,0,0,0,0,83
2026-01-06 01:00:00,-2,0,0,0,0,0,0,0
2026-01-06 02:00:00,-2.6,0,0,0,0,0,0,6
2026-01-06 03:00:00,-2.8,0,0,0,0,0,0,30
2026-01-06 04:00:00,-2.9,0,0,0,0,0,0,100
2026-01-06 05:00:00,-2.8,0,0,0,0,0,0,100
